1,1.201679054628248,0.9003312587738037,19,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1640874668377306,0.914743185043335,0,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1370189985525543,0.9190764427185059,1,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1013044854322886,0.9257993698120117,2,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.120542550305776,0.9243052005767822,3,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1741369370314958,0.9295637607574463,4,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1235104674712095,0.9133737087249756,5,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1784502561546106,0.9140489101409912,6,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1446219083339193,0.9142022132873535,7,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0875026274585124,0.9242863655090332,8,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.142076955872369,0.9250729084014893,9,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0804671260889374,0.9283163547515869,10,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.168052007133568,0.91044020652771,11,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1055380126561698,0.913625955581665,12,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1175396169851668,0.9126756191253662,13,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1074484664533433,0.9079971313476562,14,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.121722684863759,0.9252231121063232,15,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.163854854750381,0.914592981338501,16,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.125612155360094,0.9050960540771484,17,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0916860318703718,0.9110643863677979,18,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0304942615885109,0.9132132530212402,19,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0904981093273884,0.9127955436706543,0,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0822116087273324,0.9314143657684326,1,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0451152184007382,0.9389028549194336,2,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
