1,1.2899992987830429,0.9427459239959717,0,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2511925042977838,0.9297628402709961,1,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1924601954384482,0.9278953075408936,2,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.197591766377091,0.917680025100708,3,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.216916458662189,0.9255111217498779,4,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2362957658508964,0.9164648056030273,5,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2264749560346038,0.9421103000640869,6,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.246853371934014,0.946497917175293,7,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2260899081633454,0.9354970455169678,8,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2625625840785046,0.9439620971679688,9,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2260563474039088,0.9495534896850586,10,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.281467681287285,0.9461164474487305,11,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2412720212617125,0.9522044658660889,12,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.175964410960469,0.935758113861084,13,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1868306122831507,0.9284713268280029,14,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2179280374343195,0.9278714656829834,15,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2536542527573655,0.9349381923675537,16,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2045900381385932,0.9164350032806396,17,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
